Algorithm,Filename,Input Size (Bytes),Compressed Size (Bytes),Bytes Reduced,Compression Ratio,Processes,Compression Time (ns),Decompression Time (ns),Communication Time (ns),Total Time (ns),Throughput (Bytes/s)
huffman,input1MB.txt,1000000,10000000,1.84E+19,10,1,8.03E+09,1526633.051,15600,8.03E+09,124488
lz77,input1MB.txt,1000000,380984,619016,0.380984,1,2.51E+09,18917462.82,17000,2.51E+09,397738
rle,input1MB.txt,1000000,5,999995,5.00E-06,1,3.23E+07,5778313.742,16600,3.23E+07,3.09E+07
huffman,input2MB.txt,2097152,20971520,1.84E+19,10,1,1.99E+10,1817959.319,18100,1.99E+10,105325
lz77,input2MB.txt,2097152,798944,1298208,0.380966,1,6.12E+09,15461711.94,21900,6.12E+09,342870
rle,input2MB.txt,2097152,5,2097147,2.38E-06,1,2.30E+08,26838424.35,21300,2.30E+08,9.12E+06
huffman,input4MB.txt,4194304,41943040,1.84E+19,10,1,4.01E+10,14336087.49,18300,4.01E+10,104609
lz77,input4MB.txt,4194304,1597864,2596440,0.38096,1,1.10E+10,14134677.43,16800,1.10E+10,380973
rle,input4MB.txt,4194304,5,4194299,1.19E-06,1,1.25E+08,31659448.43,15200,1.25E+08,3.36E+07
huffman,input1MB.txt,1000000,5000000,1.84E+19,2.15E+10,2,3.05E+09,26566170.75,18600,3.05E+09,327795
lz77,input1MB.txt,1000000,190512,809488,8.18E+08,2,1.42E+09,61288522.6,1.32E+07,1.43E+09,699283
rle,input1MB.txt,1000000,5,999995,21474.8,2,3.00E+07,56696999.13,321200,3.03E+07,3.30E+07
huffman,input2MB.txt,2097152,10485760,1.84E+19,2.15E+10,2,9.46E+09,33759002.32,24200,9.46E+09,221597
lz77,input2MB.txt,2097152,399488,1697664,8.18E+08,2,3.88E+09,21814576.87,2.54E+07,3.90E+09,537276
rle,input2MB.txt,2097152,5,2097147,10240,2,6.32E+07,15756964.17,18200,6.32E+07,3.32E+07
huffman,input4MB.txt,4194304,20971520,1.84E+19,2.15E+10,2,2.10E+10,7504062.601,1.56E+07,2.10E+10,199259
lz77,input4MB.txt,4194304,798944,3395360,8.18E+08,2,9.05E+09,28943590.38,8.37E+07,9.14E+09,459017
rle,input4MB.txt,4194304,5,4194299,5120,2,1.17E+08,60898395.26,926500,1.17E+08,3.57E+07
huffman,input1MB.txt,1000000,3333330,1.84E+19,1.43E+10,3,2.04E+09,21069420.85,2.18E+08,2.25E+09,443836
lz77,input1MB.txt,1000000,127016,872984,5.46E+08,3,9.91E+08,41409208.04,23300,9.91E+08,1.01E+06
rle,input1MB.txt,1000000,5,999995,21474.8,3,1.36E+07,38245680.08,1.18E+07,2.54E+07,3.93E+07
huffman,input2MB.txt,2097152,6990500,1.84E+19,1.43E+10,3,6.45E+09,1500345.381,1.41E+08,6.59E+09,317996
lz77,input2MB.txt,2097152,266336,1830816,5.45E+08,3,3.16E+09,587484.5665,21600,3.16E+09,662684
rle,input2MB.txt,2097152,5,2097147,10240,3,3.74E+07,21569314.12,1.54E+06,3.89E+07,5.39E+07
huffman,input4MB.txt,4194304,13981010,1.84E+19,1.43E+10,3,1.47E+10,37232483.16,20200,1.47E+10,286056
lz77,input4MB.txt,4194304,532640,3661664,5.45E+08,3,6.85E+09,13572028.89,3.37E+07,6.88E+09,609344
rle,input4MB.txt,4194304,5,4194299,5120,3,1.08E+08,19949979.88,5.73E+06,1.14E+08,3.68E+07
huffman,input1MB.txt,1000000,2500000,1.84E+19,2.15E+10,4,1.65E+09,16347843.66,3.96E+07,1.68E+09,593585
lz77,input1MB.txt,1000000,95272,904728,8.18E+08,4,9.73E+08,57368077.44,1.04E+07,9.83E+08,1.02E+06
rle,input1MB.txt,1000000,5,999995,42949.7,4,1.34E+07,18892719.93,3.67E+06,1.71E+07,5.86E+07
huffman,input2MB.txt,2097152,5242880,1.84E+19,2.15E+10,4,5.42E+09,28035827.78,2.78E+08,5.70E+09,368209
lz77,input2MB.txt,2097152,199760,1897392,8.18E+08,4,2.62E+09,29816895.86,25500,2.62E+09,799477
rle,input2MB.txt,2097152,5,2097147,20480,4,4.34E+07,24200947.78,5.37E+06,4.88E+07,4.30E+07
huffman,input4MB.txt,4194304,10485760,1.84E+19,2.15E+10,4,1.09E+10,4086385.95,1.29E+09,1.22E+10,343534
lz77,input4MB.txt,4194304,399488,3794816,8.18E+08,4,5.49E+09,21993125.47,22700,5.49E+09,763756
rle,input4MB.txt,4194304,5,4194299,10240,4,8.60E+07,12985491.63,2.62E+07,1.12E+08,3.74E+07
huffman,input1MB.txt,1000000,2000000,1.84E+19,1.72E+10,5,1.44E+09,9557170.051,18200,1.44E+09,695408
lz77,input1MB.txt,1000000,76224,923776,6.55E+08,5,6.81E+08,42337543.75,5.11E+06,6.86E+08,1.46E+06
rle,input1MB.txt,1000000,5,999995,42949.7,5,6.34E+06,38410728.61,4.42E+06,1.08E+07,9.29E+07
huffman,input2MB.txt,2097152,4194300,1.84E+19,1.72E+10,5,4.41E+09,3967387.975,8.55E+07,4.50E+09,466409
lz77,input2MB.txt,2097152,159816,1937336,6.55E+08,5,2.36E+09,32461942.53,1.42E+08,2.50E+09,839175
rle,input2MB.txt,2097152,5,2097147,20480,5,2.77E+07,61732631.56,255200,2.80E+07,7.49E+07
huffman,input4MB.txt,4194304,8388600,1.84E+19,1.72E+10,5,1.01E+10,16248017.23,2.00E+07,1.01E+10,415364
lz77,input4MB.txt,4194304,319600,3874704,6.55E+08,5,5.44E+09,20766748.99,5.75E+07,5.49E+09,763498
rle,input4MB.txt,4194304,5,4194299,10240,5,6.56E+07,17453062.22,27300,6.57E+07,6.39E+07
huffman,input1MB.txt,1000000,1666660,1.84E+19,2.15E+10,6,1.44E+09,33635141.56,1.17E+08,1.55E+09,643821
lz77,input1MB.txt,1000000,63520,936480,8.18E+08,6,6.97E+08,30918871.39,7.57E+07,7.73E+08,1.29E+06
rle,input1MB.txt,1000000,5,999995,64424.5,6,1.52E+07,35825293.03,215800,1.55E+07,6.47E+07
huffman,input2MB.txt,2097152,3495250,1.84E+19,2.15E+10,6,4.16E+09,33789142.81,3.26E+08,4.49E+09,467331
lz77,input2MB.txt,2097152,133184,1963968,8.18E+08,6,2.59E+09,19536954.11,1.03E+08,2.69E+09,779464
rle,input2MB.txt,2097152,5,2097147,30720,6,2.83E+07,34011069.87,20900,2.83E+07,7.40E+07
huffman,input4MB.txt,4194304,6990500,1.84E+19,2.15E+10,6,8.85E+09,14916374.17,1.15E+08,8.97E+09,467744
lz77,input4MB.txt,4194304,266336,3927968,8.18E+08,6,5.34E+09,37760468.92,1.20E+08,5.46E+09,767975
rle,input4MB.txt,4194304,5,4194299,15360,6,6.13E+07,7525152.915,7.48E+06,6.88E+07,6.10E+07
,,,,,,,,,,,
